"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ACOXL",-0.371304090909091,0.297847619047619,-1.41671272186037,0.16301548931502,0.54398199279622,-5.11899601017291
"AX748125",0.0155831818181817,0.162302380952381,0.0441122889204892,0.964997638328834,0.991203722293345,-6.06797161989961
"SHOC1",0.0562545454545458,-0.240766666666667,0.179138640809729,0.858581798194629,0.95853024438828,-6.05339835416203
"ST6GAL2",0.399737272727272,0.18417380952381,1.15496965763442,0.253812157087192,0.634446415567542,-5.43303149153797
"TEP1",0.301465454545454,0.0453095238095238,1.23153094170546,0.22411548706834,0.604984920070695,-5.34734491741081
"FAM47C",0.0155104545454547,-0.260059523809524,0.0545425943129927,0.956728939141798,0.988849917848255,-6.06747399847241
"RPL27",-0.967947727272727,-0.219454761904762,-3.20181507416443,0.00242277617469526,0.0897629386242755,-1.59894971051412
"DESI2",0.0113659090909089,0.375071428571429,0.0408279259530398,0.967602188028864,0.991681208857809,-6.06810653301823
"ADAM23",0.993215909090908,0.526769047619048,3.65791240639732,0.000630085699507321,0.0449881189448227,-0.399564924301877
"ZFR2",-0.138626363636363,-0.15267619047619,-0.74583094119619,0.459401422265775,0.790433334408871,-5.80151646870468
"KLF3",0.194403636363636,0.568109523809524,0.587314351611987,0.559741395256454,0.846893444374225,-5.9027196334181
"PSMD1",-0.0687636363636364,0.229319047619048,-0.243165586444425,0.808911834644,0.942723373887707,-6.04033479317794
"TBX6",-0.514176363636363,-0.102609523809524,-1.58444024755426,0.119651289235819,0.484137051819949,-4.88704772945325
"PRDM1",0.317701818181817,1.18380476190476,1.25670437463918,0.214933432026986,0.595472986663894,-5.31804662589025
"CNDP2",-0.452271818181818,0.0752142857142858,-1.54351435510912,0.129264533841063,0.498276946226899,-4.94580321402365
"PYGL",0.568878181818182,0.11352619047619,2.04930485099418,0.0459109881414445,0.330822485017795,-4.12612529862225
"FOXR2",-0.129373181818182,0.0488119047619048,-0.296002916171667,0.768502900816544,0.929820624942826,-6.026579335317
"NDUFB11",-0.843040909090909,-0.218557142857143,-2.76376728168393,0.00807591480470817,0.158606444913747,-2.65437099530173
"CDC45",-0.667838636363636,0.370645238095238,-1.82975599204729,0.0734917306911431,0.399754939276683,-4.50646008646017
"BPIFA1",-0.277649545454545,-0.0251595238095238,-0.883198423667484,0.381524948458045,0.740523767280881,-5.69485468772905
"LINC01554",-0.0688031818181818,-0.117145238095238,-0.350688511443448,0.727354303931819,0.915616005611418,-6.00951549873939
"SEPHS1P1",-0.657350454545455,0.299021428571429,-1.90277647277008,0.0630687268951823,0.376611795322194,-4.38402204791246
"ZNF768",-0.671916363636363,-0.36292380952381,-2.47835800527944,0.0167618187881635,0.215086764908163,-3.28254551320468
"FBXO21",-0.712628636363636,-1.07063333333333,-1.91914704564944,0.0609131579739766,0.371447962724738,-4.3560113099022
"NCOR2",0.315778636363637,-0.459192857142857,1.07881064443739,0.286055951427364,0.667387360192093,-5.51311406135145
"H2BU1",-0.0778072727272726,-0.49272380952381,-0.397432887044729,0.692807647669379,0.90530458590476,-5.99265484214716
"CFP",-0.503005454545455,0.783869047619048,-0.972142314913852,0.33584643296022,0.704916220309576,-5.61652714435787
"ASPHD1",0.057845909090909,0.0590047619047619,0.187952124067549,0.851705373534502,0.955474538070103,-6.0518348196286
"KCNJ14",0.349895454545455,-0.145728571428571,1.47276730360953,0.147331952316288,0.524319324533777,-5.0440959166644
"TUBB4A",0.347530909090909,0.36605,0.898138558586637,0.373588501322629,0.73465059041886,-5.68220376176203
"TEX22",-0.352575,-0.515342857142857,-1.61900316557702,0.111990063438088,0.471318478092944,-4.83635615809502
"KIF12",0.0323818181818178,-0.955461904761905,0.236759659464987,0.813849327910768,0.944832266867653,-6.04181975439266
"EIF4EBP3",-0.204071363636364,-0.0462904761904762,-0.641308530752496,0.524368431703525,0.827615445997199,-5.87090034242145
"STPG1",-0.347983636363636,-0.113842857142857,-1.11262761059636,0.27140183240458,0.654277441961947,-5.47819316067579
"RNF20",0.212456363636364,-0.361566666666667,0.748041121242262,0.458079665265562,0.789285614605328,-5.79993895956074
"NMT1",0.252531818181818,-0.115378571428571,0.784820478554572,0.436409812973717,0.776743049436033,-5.77302005392784
"PAK3",-0.558384545454545,0.285407142857143,-1.33514645321096,0.1881172504331,0.570364919483457,-5.2232172714622
"SHC2",0.468341818181818,-0.875361904761905,2.42869822916479,0.0189429046718414,0.226375946413749,-3.38659538595146
"MUC2",-0.0511822727272727,0.0148047619047619,-0.295967657868482,0.768529664208519,0.929820624942826,-6.02658941010831
"LOC100093698",-0.339298636363636,-0.125707142857143,-1.28469883826351,0.205054160147582,0.585592294329917,-5.28481608676843
"LOC613038",0.123681818181818,0.102014285714286,0.471316004517411,0.6395472665116,0.882828401409424,-5.96174173405513
"LCT",-0.373657727272727,0.281940476190476,-1.24897692671599,0.217721806122594,0.597172264832007,-5.32709917053101
"ZNF12",0.0474568181818182,-0.125483333333333,0.164115493711618,0.870328368289729,0.961800194628104,-6.05589066959561
"ATP6V1E1",0.0221068181818182,-0.0681047619047619,0.0754708442379049,0.94015332278579,0.983942555232008,-6.0661582078374
"ADAMTS19",-0.374405909090909,-0.236647619047619,-1.26426652385766,0.212230490674142,0.593551162002216,-5.30913730355066
"COPS7B",-0.424463181818182,-0.0726571428571429,-1.52650855825298,0.133436911135036,0.503861143938921,-4.96981067431218
"CCDC154",-0.00339863636363652,0.171495238095238,-0.012570441211802,0.99002253165706,0.997159451830674,-6.06883625874651
"INA",0.0380931818181814,0.521721428571429,0.112682260196718,0.910751738249989,0.974941867515596,-6.06277283114206
"TSPAN9",0.852662727272727,-1.10714285714286,2.50152677812169,0.0158242108934043,0.209503492172989,-3.23345316120828
"LRRC37A11P",0.0828872727272727,-0.0820571428571429,0.251828710893191,0.802247061338287,0.941944879633735,-6.0382637015364
"DGAT1",-0.175662727272727,-0.49992619047619,-0.793489454643544,0.43139227913881,0.773804629372505,-5.76649203783091
"KRTAP4-1",-0.123566818181818,-0.0960595238095238,-0.562273976248888,0.57654219559071,0.855542706780089,-5.91654119741047
