"Gene","logFC_TCGA","adjP_TCGA","logFC_METABRIC","adjP_METABRIC","Concordant"
"SLIT2",1.49956365546218,0.000306487162001023,1.11587590909091,0.0168277463184134,TRUE
"CCDC80",1.4549787815126,2.24864649627116e-05,1.71488590909091,0.0240862393548824,TRUE
"MN1",1.44299579831933,0.00872507910162888,1.31674545454545,0.00460541045249674,TRUE
"DCN",1.44161071428571,8.19796065802395e-06,0.702931363636363,0.0389230784116933,TRUE
"CTSK",1.41783886554621,4.81446766174067e-07,1.15512590909091,0.0119404409137741,TRUE
"GLT8D2",1.41661806722689,1.72502386319783e-08,1.25714590909091,0.00345258302713159,TRUE
"THBS1",1.41568823529411,6.30527599847743e-05,1.09579090909091,0.0332960218787872,TRUE
"ECM2",1.41523991596638,3.78757806212206e-05,1.27551136363636,0.00400982895954679,TRUE
"COL8A1",1.40072920168067,0.0024678039511474,1.35977681818182,0.0284338441708588,TRUE
"PRSS23",1.40054894957983,1.25939363921339e-08,0.831945,0.0340042586520596,TRUE
"FILIP1L",1.39942310924369,2.61521536098942e-07,1.63598,0.00414558610236367,TRUE
"SPON2",1.39012352941177,0.0024678039511474,1.52329818181818,0.0138889558728706,TRUE
"TAGLN",1.38720756302522,0.00685178481213194,1.07532454545455,0.0332960218787872,TRUE
"MEG3",1.38701722689075,0.00199030229222696,1.46998181818182,0.00635045574984223,TRUE
"ANGPTL2",1.38261323529411,4.83341578980889e-08,1.52574363636364,0.00460541045249674,TRUE
"LRRC32",1.3793069327731,6.78636442433779e-06,1.56700772727273,0.00405868416411697,TRUE
"EMILIN1",1.37788886554621,5.68415602388878e-06,1.88994409090909,0.00234914001971509,TRUE
"C1QTNF3",1.37597016806722,0.00185897453955703,1.08415181818182,0.0155873598652782,TRUE
"PRICKLE2",1.35987857142857,0.00031822936502876,1.13615090909091,0.0482918854045844,TRUE
"PDPN",1.34665651260504,3.09386344651199e-06,1.63762818181818,0.00608613239028958,TRUE
"PTPRD",1.34394075630252,0.00842621094341074,1.46421181818182,0.00405868416411697,TRUE
"CHSY3",1.34186680672269,3.10488094961949e-08,1.84012863636364,0.00121574414594156,TRUE
"SPARC",1.33120210084033,3.00727061437987e-08,1.42832227272727,0.00345258302713159,TRUE
"GPC6",1.32394453781513,0.00329597634628225,1.62021818181818,0.00350886154050187,TRUE
"DKK3",1.32349432773109,0.000100970592277221,1.31550727272727,0.0119404409137741,TRUE
"PTH1R",1.31542079831933,0.00130047228642191,1.17822909090909,0.0332960218787872,TRUE
"OLFML1",1.31496722689076,7.24350451495546e-07,1.67036818181818,0.00876347453459554,TRUE
"HOXD1",1.30864978991597,0.00845796310738434,1.01463,0.0221951665946943,TRUE
"CD248",1.29743760504202,1.55532048884883e-05,1.58133909090909,0.0268026880149203,TRUE
