"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FGF22",0.0243806722689075,0.143312903225806,0.319336023286453,0.750563886220485,0.941201510383811,-6.38089283852851
"FABP6",0.20289705882353,2.24911612903226,0.319142475903,0.75070992596705,0.941285200306355,-6.38095393960084
"DHRS7B",-0.0510705882352926,8.55319354838709,-0.319125832460178,0.750722484581213,0.941285200306355,-6.38095919205402
"PPFIA1",0.0514533613445352,10.6025306451613,0.318961863071467,0.75084621429985,0.941382742925556,-6.38101092405872
"BOC",-0.107494957983192,9.15042258064516,-0.31890007835871,0.750892838151426,0.941383607088477,-6.38103041013546
"NCRNA00176",-0.103077941176471,3.63399838709677,-0.318766965526868,0.750993290647401,0.941411482676031,-6.38107237936867
"LOC338588",0.00961974789915966,0.0326467741935484,0.318748872183969,0.751006944972696,0.941411482676031,-6.38107808268269
"EPC2",-0.0434451680672279,9.32046451612903,-0.318620148999359,0.751104089539794,0.941437690712807,-6.38111864899777
"RBM45",0.0194794117647064,7.53533225806452,0.318573464695832,0.75113932215992,0.941437690712807,-6.38113335723205
"ZFP91",0.0349174369747907,11.2248161290323,0.318538561375541,0.751165664025365,0.941437690712807,-6.38114435237742
"WDR19",0.0468189075630212,7.96141774193548,0.318399452453333,0.75127065379493,0.941511696867443,-6.38118816214909
"NOC2L",0.0488928571428513,11.1459193548387,0.318306678668634,0.751340675638315,0.941532404151813,-6.38121736892907
"PLK2",0.0794951680672309,10.3750548387097,0.318255822474405,0.751379060695955,0.941532404151813,-6.38123337573264
"RAB22A",0.0340592436974809,10.4744419354839,0.318186438256254,0.751431431286441,0.941540459328951,-6.38125521005384
"SORBS2",0.178486344537818,9.69884032258065,0.318084838636961,0.75150811989179,0.941578982029856,-6.38128717358722
"NSF",0.0438823529411749,10.325064516129,0.318010870280253,0.751563953672342,0.941587684813578,-6.38131043784636
"ZNF285",0.106493067226891,6.08943870967742,0.317862800040962,0.751675726027125,0.941587684813578,-6.3813569921598
"CWC22",-0.0283661764705929,9.61521935483871,-0.317762844728029,0.751751181349338,0.941587684813578,-6.38138840658914
"C1QTNF9",0.0910056722689068,1.38557419354839,0.317674318505842,0.751818010989594,0.941587684813578,-6.3814162208075
"ASAP2",0.0614617647058857,9.82630483870968,0.317644032204772,0.751840874965007,0.941587684813578,-6.38142573474357
"TUSC2",0.0365855042016765,8.66264516129032,0.317604664131616,0.751870595357698,0.941587684813578,-6.3814381002155
"CES8",-0.11786911764706,4.82628709677419,-0.317589367394842,0.75188214352331,0.941587684813578,-6.38144290449299
"NUS1",-0.039290546218492,10.88755,-0.317588733171283,0.751882622327227,0.941587684813578,-6.3814431036799
"LTK",0.114699789915966,2.95181774193548,0.317312534760129,0.752091146241193,0.941791271603753,-6.38152981003496
"FN3KRP",0.0510852941176463,9.93951451612903,0.316870247270288,0.752425102490352,0.942037503794844,-6.38166849977203
"DYDC1",-0.0755231092436978,0.638548387096774,-0.316823905529362,0.752460096313672,0.942037503794844,-6.38168302016593
"BSN",0.0903056722689071,4.33359032258064,0.316783900050056,0.75249030588453,0.942037503794844,-6.38169555349808
"FAM46A",0.0704273109243676,9.276,0.316742683894558,0.752521430086667,0.942037503794844,-6.38170846447378
"C2orf29",0.0326897058823441,10.2431516129032,0.316733128944284,0.752528645525048,0.942037503794844,-6.38171145732636
"ARPC1A",0.044637394957979,11.4635,0.3166516239301,0.752590195087942,0.942037503794844,-6.38173698310508
"RAPH1",0.0676277310924398,10.4340290322581,0.316529065264768,0.752682749879315,0.942037503794844,-6.38177535376101
"SLIT1",-0.0724058823529412,3.0750935483871,-0.316471577716356,0.752726165021747,0.942037503794844,-6.38179334685692
"NDUFB6",-0.0493945378151253,9.30764838709678,-0.316428351854874,0.752758810130709,0.942037503794844,-6.3818068740252
"GAS2L1",0.0641224789916031,9.22955322580645,0.316416401993379,0.752767835005471,0.942037503794844,-6.38181061330851
"PCBD1",-0.053715756302525,9.97108225806452,-0.316382534761389,0.75279341268899,0.942037503794844,-6.3818212100872
"GPC2",0.114691386554625,5.64442741935484,0.316232465918353,0.7529067531207,0.942121809650483,-6.38186815179283
"LILRA6",0.0726067226890743,6.65739516129032,0.31615838631535,0.752962704216254,0.942134297588858,-6.38189131579453
"ECT2L",-0.0706630252100848,2.8922064516129,-0.316022513910139,0.75306532984649,0.942162643089796,-6.38193378777191
"NUFIP1",-0.0418852941176464,7.80358064516129,-0.316006661732318,0.753077303428025,0.942162643089796,-6.38193874177484
"HIST1H4I",0.0741411764705882,1.50695806451613,0.315823975321213,0.753215295840371,0.942172602677447,-6.38199581567871
"ZNF541",-0.107544327731094,3.76824193548387,-0.315739543766731,0.753279074052273,0.942172602677447,-6.38202218221561
"MAPRE1",0.0288325630252153,11.9053435483871,0.315463936341169,0.753487275388504,0.942172602677447,-6.38210820082128
"AUTS2",-0.0514105042016801,10.55735,-0.315292390837066,0.75361687479859,0.942172602677447,-6.38216170332243
"DDX60L",0.0786871848739494,9.34124032258064,0.315257469853955,0.753643257817708,0.942172602677447,-6.38217259110651
"RAB4B",0.0511478991596626,8.44532741935484,0.315146289671962,0.753727257096949,0.942172602677447,-6.38220724724058
"HES1",-0.0677735294117632,9.93953387096774,-0.315110831473013,0.75375404724016,0.942172602677447,-6.38221829740425
"TMCO1",0.0446039915966328,11.3749709677419,0.315061505263816,0.75379131574675,0.942172602677447,-6.38223366732214
"TEDDM1",-0.0570525210084033,0.902877419354839,-0.315036458267357,0.753810240275232,0.942172602677447,-6.38224147098276
"HIST1H2BC",0.120370168067227,6.21409516129032,0.315025119165684,0.753818807705701,0.942172602677447,-6.38224500359827
"ZNF800",0.0424573529411756,8.84900806451613,0.314970148502546,0.753860342065234,0.942172602677447,-6.38226212751638
"LOC26102",0.0513495798319327,0.685245161290322,0.31494148065362,0.753882003012949,0.942172602677447,-6.38227105665993
"MRPS2",-0.0545292016806744,9.62837903225806,-0.314933875348665,0.753887749487625,0.942172602677447,-6.38227342533999
"C14orf135",0.035227100840336,9.26676451612904,0.314868444458356,0.753937188838743,0.942172602677447,-6.38229380150309
"ZC3H15",0.0324981092436971,10.8483322580645,0.314815346863773,0.753977309954619,0.942172602677447,-6.38231033379086
"SOX21",0.0960243697478989,0.975937096774193,0.314814598066099,0.753977875759094,0.942172602677447,-6.38231056691411
"SLN",0.110586134453782,1.79312258064516,0.314783399447043,0.754001450095637,0.942172602677447,-6.38232027949169
"C19orf12",-0.0497993697479,9.2817370967742,-0.314780268684317,0.754003815779153,0.942172602677447,-6.38232125409007
"AHCYL1",-0.0339987394958019,11.6007983870968,-0.314771220442346,0.754010652872983,0.942172602677447,-6.38232407073018
"KBTBD7",0.0644424369747858,7.27093225806452,0.314708597874035,0.754057972703441,0.942172602677447,-6.38234356238669
"HSPA13",-0.0660466386554628,10.0501951612903,-0.314659417703557,0.754095135645469,0.942172602677447,-6.38235886730508
"B9D2",0.0572653361344528,6.00275,0.31465738418967,0.754096672280578,0.942172602677447,-6.38235950008532
"MAMDC4",-0.0820056722689051,4.54781129032258,-0.314570849375132,0.75416206367776,0.942196862534261,-6.38238642384525
"ADAMTS17",-0.108969747899159,5.19322096774193,-0.314397425059752,0.75429311993353,0.942292617193919,-6.38244035950136
"DMRT1",-0.150857142857143,2.02472903225806,-0.314347742253594,0.754330666423511,0.942292617193919,-6.38245580559015
"TAF6",0.0421859243697416,10.4891306451613,0.314156136323639,0.754475473198953,0.942416063127893,-6.38251535194905
"CYP27B1",0.0823367647058788,6.50827741935484,0.314092935515674,0.754523239345729,0.942418287856617,-6.38253498525223
"WFDC10A",0.0157420168067227,0.0681112903225806,0.313974147093682,0.754613020314355,0.942472986673313,-6.38257187616913
"PCDHA13",-0.12226575630252,2.16859032258065,-0.313422754598618,0.755029810390985,0.942936071551058,-6.38274293443248
